Date, Close, Volume, Open, High, Low
3/26/2019,$117.91 ,25986230,$118.62 ,$118.71 ,$116.85 
3/25/2019,$117.66 ,26641480,$116.56 ,$118.01 ,$116.32 
3/22/2019,$117.05 ,32346990,$119.50 ,$119.59 ,$117.04 
3/21/2019,$120.22 ,29747140,$117.14 ,$120.82 ,$117.09 
3/20/2019,$117.52 ,26110540,$117.39 ,$118.75 ,$116.71 
3/19/2019,$117.65 ,35304130,$118.09 ,$118.44 ,$116.99 
3/18/2019,$117.57 ,31098780,$116.17 ,$117.61 ,$116.05 
3/15/2019,$115.91 ,54025470,$115.34 ,$117.25 ,$114.59 
3/14/2019,$114.59 ,30414810,$114.54 ,$115.20 ,$114.33 
3/13/2019,$114.50 ,35311160,$114.13 ,$115 ,$113.78 
3/12/2019,$113.62 ,26103480,$112.82 ,$113.99 ,$112.65 
3/11/2019,$112.83 ,24525610,$110.99 ,$112.95 ,$110.98 
3/8/2019,$110.51 ,22803110,$109.16 ,$110.71 ,$108.80 
3/7/2019,$110.39 ,25320540,$111.40 ,$111.55 ,$109.87 
3/6/2019,$111.75 ,17651130,$111.87 ,$112.66 ,$111.43 
3/5/2019,$111.70 ,19090780,$112.25 ,$112.39 ,$111.23 
3/4/2019,$112.26 ,25869380,$113.02 ,$113.25 ,$110.80 
3/1/2019,$112.53 ,20821260,$112.89 ,$113.02 ,$111.67 
